Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
Honda,CR-V,Liderazgo en movimiento,liviano,SUV,SÍ,Touring 1.5 Turbo Aut. 4X4,1.5 Turbo VTEC,Gasolina,Automática,188 HP,,4x4,,,,,,42990000,1000000,2000000,39990000
Honda,CR-V e:HEV,Poder electrificado,liviano,"SUV, Híbrido",SÍ,ADVANCE HYBRID Aut. 4X4,2.0L e:HEV,Híbrido,CVT,204 HP,,AWD,,,,,,49990000,1000000,2000000,46990000
Honda,ZR-V,Sofisticación deportiva,liviano,SUV,SÍ,EXL 2.0 Aut. 4X2,2.0L,Gasolina,CVT,155 HP,,4x2,,,,,,31990000,1000000,1500000,29490000
Honda,ZR-V,Sofisticación deportiva,liviano,SUV,SÍ,TOURING 2.0 Aut. 4X2,2.0L,Gasolina,CVT,155 HP,,4x2,,,,,,33490000,1500000,1500000,30490000
Honda,Pilot,Espacio para grandes momentos,liviano,SUV,SÍ,PILOT TOURING 3.5 (10) Aut. 4X4,V6 3.5L,Gasolina,Automática,285 HP,,4x4,,,,,,59990000,2000000,1000000,56990000
Honda,Pilot,Espacio para grandes momentos,liviano,SUV,SÍ,PILOT ELITE 3.5 (10) Aut. 4X4,V6 3.5L,Gasolina,Automática,285 HP,,4x4,,,,,,61990000,2000000,1000000,58990000
BMW Motorrad,C 400 X,Make Life a Ride,moto,Urban Mobility,SÍ,C 400 X,350 cm3,Gasolina,CVT,34 HP,,4X2,8.8 l/100km,-,-,-,-,11990000,500000,0,11490000
BMW Motorrad,C 400 GT,Make Life a Ride,moto,Urban Mobility,SÍ,C 400 GT,350 cm3,Gasolina,CVT,34 HP,,4x2,8.6 l/100km,-,-,-,-,14090000,600000,0,13490000
BMW Motorrad,CE 02,Make Life a Ride,moto,"Urban Mobility, Eléctrico",SÍ,CE 02,Eléctrico Síncrono,Eléctrico,Mecánica,15 HP,,4x2,,90 km,-,-,-,12490000,2000000,0,10490000
BMW Motorrad,CE 04,Make Life a Ride,moto,"Urban Mobility, Eléctrico",SÍ,CE 04,Eléctrico Síncrono,Eléctrico,Mecánica,42 HP,,4x2,,130 km,-,-,-,16290000,300000,0,15990000
BMW Motorrad,G 310 R,Make Life a Ride,moto,Roadster,SÍ,G 310 R,313 cc,Gasolina,Mecánica,34 HP,28 Nm,4x2,3.3 l/100km,-,-,-,-,5790000,0,0,5790000
BMW Motorrad,G 310 GS,Make Life a Ride,moto,Adventure,SÍ,G 310 GS,313 cc,Gasolina,Mecánica,34 HP,28 Nm,4x2,,-,-,-,-,6790000,0,0,6790000
BMW Motorrad,F 800 GS,Make Life a Ride,moto,Adventure,SÍ,F 800 GS,895 cm3,Gasolina,Mecánica,87 HP,91 Nm,4x2,,-,-,-,-,14990000,1500000,0,13490000
BMW Motorrad,F 900 R,Make Life a Ride,moto,Roadster,SÍ,F 900 R,895 cm3,Gasolina,Mecánica,105 HP,92 Nm,4x2,,-,-,-,-,14890000,1500000,0,13390000
